119.3333359,172
398.3333435,173
572.333313,33
2.3333333,176
2.3333333,226
109.8333359,17
233.3333282,434
530.333313,287
493.833374,264
35979.83203,171
6677.833008,94
4056.333252,149
244.8333282,295
12770.83301,65
39492.33203,906
2514.333252,171
5750.833008,171
5689.833008,118
3953.833252,254
14359.33301,238
40.3333321,86
15.833333,21
40643.83203,334
115.3333282,103
16.333334,179
0.3333333,264
170.3333282,179
845.833313,179
41962.33203,334
5.833333,539
39.8333321,69
